Date;Place;pH General;CE compensada (mS/mL);O2 (mg/L);Salinidad (ppt);Turbidez (mg/L);Temperatura (C);Ca (mg/m3) ;Cb (mg/m3) ;Cc (mg/m3);Al (mg/L);As (mg/L);Be (mg/L);Bi (mg/L);B (mg/L);Ca (mg/L);Cd (mg/L);Co (mg/L);Cr (mg/L);Cu (mg/L);Fe (mg/L);K (mg/L);La (mg/L);Li (mg/L);Mg (mg/L);Mn (mg/L);Mo (mg/L);Na (mg/L);Ni (mg/L);Pb (mg/L);P (mg/L);Rb (mg/L);Sb (mg/L);Se (mg/L);Si (mg/L);S (mg/L);Sr (mg/L);Ti (mg/L);Tl (mg/L);V (mg/L);Zn (mg/L);F- (mg/L);Cl- (mg/L);NO2- (mg/L);Br- (mg/L);NO3- (mg/L);PO43- (mg/L);SO42- (mg/L)
2023-03-06;Estacio;8,18;59,0;10,3;39,8;967,58;13,5;0,3616;0,8215;0,0;0,08;0,0;0,0;0,0;4,3;377,67;0,0;0,0;0,0;0,0;0,0;583,3;0,02;0,33;1560,0;7,19;0,0;13359,0;0,0;0,01;0,0;0,3;-0,02;0,0;0,55;1228,0;7,89;0,0;0,06;-0,01;0,0;0,02;25652,56605;0,1;303,2352922;1,0;1,0;3394,653649
2023-04-09;Estacio;8,31;17,87;8,07;10,53;1003,18;19,92;0,3616;0,8215;0,0;0,08;0,0;0,0;0,0;4,3;377,67;0,0;0,0;0,0;0,0;0,0;583,3;0,02;0,33;1560,0;7,19;0,0;13359,0;0,0;0,01;0,0;0,3;-0,02;0,0;0,55;1228,0;7,89;0,0;0,06;-0,01;0,0;0,02;25652,56605;0,1;303,2352922;1,0;1,0;3394,653649
2023-04-24;Estacio;7,72;26,7;8,11;16,35;3381,9;21,9;0,3616;0,8215;0,0;0,08;0,0;0,0;0,0;4,3;377,67;0,0;0,0;0,0;0,0;0,0;583,3;0,02;0,33;1560,0;7,19;0,0;13359,0;0,0;0,01;0,0;0,3;-0,02;0,0;0,55;1228,0;7,89;0,0;0,06;-0,01;0,0;0,02;25652,56605;0,1;303,2352922;1,0;1,0;3394,653649
2023-05-10;Estacio;8,51;26,4;8,11;16,15;78,5;24,3;0,3616;0,8215;0,0;0,08;0,0;0,0;0,0;4,3;377,67;0,0;0,0;0,0;0,0;0,0;583,3;0,02;0,33;1560,0;7,19;0,0;13359,0;0,0;0,01;0,0;0,3;-0,02;0,0;0,55;1228,0;7,89;0,0;0,06;-0,01;0,0;0,02;25652,56605;0,1;303,2352922;1,0;1,0;3394,653649
2023-05-17;Estacio;8,21;16,9;7,31;9,92;47,37;21,7;0,3525;0,7699;0,102;0,06;0,0;0,0;-0,28;4,29;367,3;0,0;0,0;0,0;0,0;0,0;404,93;0,02;0,34;1720,5;6,62;0,0;14051,0;0,0;0,0;0,02;0,34;-0,02;0,0;0,7;1314,5;7,72;0,0;0,06;-0,0;0,0;0,02;25243,494;0,1;322,6437584;1,0;1,0;3338,674044
2023-05-27;Estacio;8,1;24,8;7,07;15,1;78,07;23,2;0,3435;0,7183;0,2039;0,05;0,0;0,0;-0,57;4,28;356,94;0,0;0,0;0,0;0,0;0,0;226,56;0,01;0,35;1881,0;6,05;0,0;14743,0;0,0;0,0;0,03;0,37;-0,01;0,0;0,86;1401,0;7,55;0,0;0,05;0,0;0,0;0,02;24834,42194;0,1;342,0522246;1,0;1,0;3282,694439
2023-06-07;Estacio;8,23;37,67;7,2;23,88;214,48;23,79;0,3344;0,6667;0,3059;0,05;0,0;0,0;-0,57;4,28;356,94;0,0;0,0;0,0;0,0;0,0;226,56;0,01;0,35;1881,0;6,05;0,0;14743,0;0,0;0,0;0,03;0,37;-0,01;0,0;0,86;1401,0;7,55;0,0;0,05;0,0;0,0;0,02;24425,34988;0,1;361,4606907;1,0;1,0;3226,714834
2023-06-22;Estacio;8,36;37,79;6,18;23,86;23,31;31,16;0,3254;0,615;0,4078;0,08;0,0;0,0;0,0;4,29;379,4;0,0;0,0;0,0;0,0;0,0;587,2;0,02;0,36;1392,0;7,1;0,0;11951,0;0,0;0,01;0,0;0,29;-0,02;-0,01;0,5;967,8;8,11;0,0;0,06;-0,01;0,0;0,02;24016,27783;0,1;380,8691569;1,0;1,0;3170,735229
2023-07-06;Estacio;8,21;61,81;5,79;41,36;54,67;31,52;0,3163;0,5634;0,5098;0,07;0,0;0,0;0,0;4,34;363,43;0,0;0,0;0,0;0,0;0,0;635,6;0,02;0,34;1514,0;7,15;0,0;12902,0;0,0;0,01;0,0;0,3;-0,02;0,0;0,68;1221,0;7,57;0,0;0,06;-0,01;0,0;0,02;23354,8561;0,1;279,9953298;1,0;1,0;3081,82535
2023-07-12;Estacio;8,16;18,36;6,03;10,73;1754,91;31,56;0,3073;0,5118;0,6117;0,07;0,0;0,0;0,0;4,34;363,43;0,0;0,0;0,0;0,0;0,0;635,6;0,02;0,34;1514,0;7,15;0,0;12902,0;0,0;0,01;0,0;0,3;-0,02;0,0;0,68;1221,0;7,57;0,0;0,06;-0,01;0,0;0,02;23354,8561;0,1;279,9953298;1,0;1,0;3081,82535
2023-07-21;Estacio;8,18;24,36;5,43;21,05;98,9;31,43;0,2982;0,4602;0,7137;0,07;0,0;0,0;0,0;3,94;338,47;0,0;0,0;0,0;0,0;0,0;580,4;0,02;0,31;1451,0;6,64;0,0;12429,0;0,0;0,01;0,0;0,26;-0,02;0,0;0,42;1159,0;7,07;0,0;0,06;-0,01;0,0;0,02;22465,4181;0,1;170,8019228;1,0;1,0;2940,711312
2023-09-09;Estacio;7,51;36,78;5,65;25,45;110,89;30,05;0,0;0,0999;0,1291;0,1;0,01;0,0;0,0;4,56;377,99;0,0;0,0;0,0;0,0;0,0;673,5;0,02;0,39;1603,0;7,49;0,0;13519,0;0,0;0,0;0,01;0,32;-0,02;-0,01;0,8;1269,0;8,31;0,0;0,06;-0,01;0,0;0,02;25535,15217;0,1;318,1934186;1,0;1,0;3376,52486
2023-09-17;Estacio;7,89;37,58;5,76;25,78;140,56;28,16;0,2745;0,4712;0,7171;0,08;0,0;0,0;0,0;4,53;380,4;0,0;0,0;0,0;0,0;0,0;680,0;0,02;0,38;1757,0;7,51;0,0;14736,0;0,0;0,0;0,0;0,33;-0,02;-0,01;0,75;1421,0;8,33;0,0;0,06;-0,02;0,0;0,02;31593,72646;0,1;354,6378892;1,0;1,0;4343,967068
